nohup: ignoring input
[RUN] /home/chenruiqi/anaconda2/envs/spdl/bin/python simulate_non_coop_game.py --scenario-profile legacy --mock-base-dir quality_data/non_coop_quality_scenarios/1 --participant-counts 5 --total-datasize 500000 --log-dir game_log/non_coop_batch/runs/scenario_1/participants_5
[scenario=5_clients] [game_id=1] iter=1, players=5, total_datasize=500000, converged=True, rounds=52, duration=0.080679s
[scenario=5_clients] [game_id=2] iter=2, players=5, total_datasize=500000, converged=True, rounds=917, duration=1.460866s
[scenario=5_clients] [game_id=3] iter=3, players=5, total_datasize=500000, converged=True, rounds=1109, duration=1.791524s
[scenario=5_clients] [game_id=4] iter=4, players=5, total_datasize=500000, converged=True, rounds=571, duration=0.654116s
[scenario=5_clients] [game_id=5] iter=5, players=5, total_datasize=500000, converged=True, rounds=408, duration=0.419131s
[scenario=5_clients] [game_id=6] iter=6, players=5, total_datasize=500000, converged=True, rounds=321, duration=0.300348s
[scenario=5_clients] [game_id=7] iter=7, players=5, total_datasize=500000, converged=True, rounds=265, duration=0.248319s
[scenario=5_clients] [game_id=8] iter=8, players=5, total_datasize=500000, converged=True, rounds=229, duration=0.226024s
[scenario=5_clients] [game_id=9] iter=9, players=5, total_datasize=500000, converged=True, rounds=204, duration=0.193392s
[scenario=5_clients] [game_id=10] iter=10, players=5, total_datasize=500000, converged=True, rounds=187, duration=0.178251s
[scenario=5_clients] [game_id=11] iter=11, players=5, total_datasize=500000, converged=True, rounds=174, duration=0.173588s
[scenario=5_clients] [game_id=12] iter=12, players=5, total_datasize=500000, converged=True, rounds=164, duration=0.151954s
[scenario=5_clients] [game_id=13] iter=13, players=5, total_datasize=500000, converged=True, rounds=156, duration=0.151902s
[scenario=5_clients] [game_id=14] iter=14, players=5, total_datasize=500000, converged=True, rounds=150, duration=0.138421s
[scenario=5_clients] [game_id=15] iter=15, players=5, total_datasize=500000, converged=True, rounds=145, duration=0.139223s
[scenario=5_clients] [game_id=16] iter=16, players=5, total_datasize=500000, converged=True, rounds=140, duration=0.150627s
[scenario=5_clients] [game_id=17] iter=17, players=5, total_datasize=500000, converged=True, rounds=136, duration=0.129482s
[scenario=5_clients] [game_id=18] iter=18, players=5, total_datasize=500000, converged=True, rounds=133, duration=0.121860s
[scenario=5_clients] [game_id=19] iter=19, players=5, total_datasize=500000, converged=True, rounds=130, duration=0.133493s
[scenario=5_clients] [game_id=20] iter=20, players=5, total_datasize=500000, converged=True, rounds=128, duration=0.117577s
[scenario=5_clients] [game_id=21] iter=21, players=5, total_datasize=500000, converged=True, rounds=126, duration=0.127058s
[scenario=5_clients] [game_id=22] iter=22, players=5, total_datasize=500000, converged=True, rounds=124, duration=0.116085s
[scenario=5_clients] [game_id=23] iter=23, players=5, total_datasize=500000, converged=True, rounds=122, duration=0.144106s
[scenario=5_clients] [game_id=24] iter=24, players=5, total_datasize=500000, converged=True, rounds=121, duration=0.127504s
[scenario=5_clients] [game_id=25] iter=25, players=5, total_datasize=500000, converged=True, rounds=120, duration=0.107688s
[scenario=5_clients] [game_id=26] iter=26, players=5, total_datasize=500000, converged=True, rounds=119, duration=0.107942s
[scenario=5_clients] [game_id=27] iter=27, players=5, total_datasize=500000, converged=True, rounds=117, duration=0.111756s
[scenario=5_clients] [game_id=28] iter=28, players=5, total_datasize=500000, converged=True, rounds=117, duration=0.104232s
[scenario=5_clients] [game_id=29] iter=29, players=5, total_datasize=500000, converged=True, rounds=116, duration=0.107035s
[scenario=5_clients] [game_id=30] iter=30, players=5, total_datasize=500000, converged=True, rounds=115, duration=0.111050s
[scenario=5_clients] [game_id=31] iter=31, players=5, total_datasize=500000, converged=True, rounds=114, duration=0.109355s
[scenario=5_clients] [game_id=32] iter=32, players=5, total_datasize=500000, converged=True, rounds=114, duration=0.102045s
[scenario=5_clients] [game_id=33] iter=33, players=5, total_datasize=500000, converged=True, rounds=113, duration=0.104194s
[scenario=5_clients] [game_id=34] iter=34, players=5, total_datasize=500000, converged=True, rounds=112, duration=0.121901s
[scenario=5_clients] [game_id=35] iter=35, players=5, total_datasize=500000, converged=True, rounds=112, duration=0.106098s
[scenario=5_clients] [game_id=36] iter=36, players=5, total_datasize=500000, converged=True, rounds=112, duration=0.100474s
[scenario=5_clients] [game_id=37] iter=37, players=5, total_datasize=500000, converged=True, rounds=111, duration=0.098842s
[scenario=5_clients] [game_id=38] iter=38, players=5, total_datasize=500000, converged=True, rounds=111, duration=0.122154s
[scenario=5_clients] [game_id=39] iter=39, players=5, total_datasize=500000, converged=True, rounds=110, duration=0.101211s
[scenario=5_clients] [game_id=40] iter=40, players=5, total_datasize=500000, converged=True, rounds=110, duration=0.097878s
[scenario=5_clients] [game_id=41] iter=41, players=5, total_datasize=500000, converged=True, rounds=110, duration=0.098634s
[scenario=5_clients] [game_id=42] iter=42, players=5, total_datasize=500000, converged=True, rounds=110, duration=0.112836s
[scenario=5_clients] [game_id=43] iter=43, players=5, total_datasize=500000, converged=True, rounds=110, duration=0.107145s
[scenario=5_clients] [game_id=44] iter=44, players=5, total_datasize=500000, converged=True, rounds=110, duration=0.099411s
[scenario=5_clients] [game_id=45] iter=45, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.100403s
[scenario=5_clients] [game_id=46] iter=46, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.097384s
[scenario=5_clients] [game_id=47] iter=47, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.122683s
[scenario=5_clients] [game_id=48] iter=48, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.099861s
[scenario=5_clients] [game_id=49] iter=49, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.100265s
[scenario=5_clients] [game_id=50] iter=50, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.101266s
[scenario=5_clients] [game_id=51] iter=51, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.103902s
[scenario=5_clients] [game_id=52] iter=52, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.108415s
[scenario=5_clients] [game_id=53] iter=53, players=5, total_datasize=500000, converged=True, rounds=109, duration=0.110268s
[scenario=5_clients] [game_id=54] iter=54, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.105944s
[scenario=5_clients] [game_id=55] iter=55, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.184204s
[scenario=5_clients] [game_id=56] iter=56, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.213431s
[scenario=5_clients] [game_id=57] iter=57, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.168293s
[scenario=5_clients] [game_id=58] iter=58, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.214027s
[scenario=5_clients] [game_id=59] iter=59, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.165630s
[scenario=5_clients] [game_id=60] iter=60, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166729s
[scenario=5_clients] [game_id=61] iter=61, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.168818s
[scenario=5_clients] [game_id=62] iter=62, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166769s
[scenario=5_clients] [game_id=63] iter=63, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.171822s
[scenario=5_clients] [game_id=64] iter=64, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.171702s
[scenario=5_clients] [game_id=65] iter=65, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166354s
[scenario=5_clients] [game_id=66] iter=66, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.172757s
[scenario=5_clients] [game_id=67] iter=67, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.167827s
[scenario=5_clients] [game_id=68] iter=68, players=5, total_datasize=500000, converged=True, rounds=108, duration=0.166430s
[scenario=5_clients] [game_id=69] iter=69, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.165338s
[scenario=5_clients] [game_id=70] iter=70, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.167876s
[scenario=5_clients] [game_id=71] iter=71, players=5, total_datasize=500000, converged=True, rounds=107, duration=0.164064s
