scenario_id,participant_count,total_rounds,iter_count,all_converged
1,5,14484,100,1
1,10,20407,100,1
1,15,37327,100,1
1,20,41437,100,0
1,25,72903,100,0
2,5,18100,100,1
2,10,23330,100,1
2,15,39352,100,1
2,20,53279,100,1
2,25,52999,100,1
3,5,17325,100,1
3,10,19251,100,1
3,15,27793,100,1
3,20,40714,100,1
3,25,62322,100,1
4,5,15228,100,1
4,10,21914,100,1
4,15,34768,100,1
4,20,47466,100,1
4,25,57784,100,1
5,5,17334,100,1
5,10,20955,100,1
5,15,32037,100,1
5,20,48615,100,1
5,25,59002,100,1
