game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,0,1,223,0.503178,10,"{""50051"": 0.8993477565190865, ""50053"": 0.8450895447663563, ""50055"": 0.8658487577300608, ""50057"": 0.8111292577300608, ""50059"": 0.9811512947663562, ""50061"": 0.9836067577300608, ""50063"": 0.8822460069158039, ""50065"": 0.9872335010246006, ""50067"": 0.9542252947663562, ""50069"": 0.8654257757148206}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 655, ""50061"": 683, ""50063"": 0, ""50065"": 730, ""50067"": 0, ""50069"": 0}","{""50051"": 0.024737405770419593, ""50053"": 0.024737405770419593, ""50055"": 0.024737405770419593, ""50057"": 0.024737405770419593, ""50059"": 0.02435808336373406, ""50061"": 0.024341871490210536, ""50063"": 0.024737405770419593, ""50065"": 0.02431466728985045, ""50067"": 0.024737405770419593, ""50069"": 0.024737405770419593}"
2,1,1,159,0.347527,10,"{""50051"": 1.009052038899418, ""50053"": 0.9997710019003994, ""50055"": 0.9644774648641039, ""50057"": 0.872999214864104, ""50059"": 1.0952783505247339, ""50061"": 1.2038875634884385, ""50063"": 0.9963730626741816, ""50065"": 1.1967457081586437, ""50067"": 1.1104954343448319, ""50069"": 1.0183861655284854}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1018, ""50063"": 0, ""50065"": 925, ""50067"": 0, ""50069"": 0}","{""50051"": 0.0248964027538615, ""50053"": 0.0248964027538615, ""50055"": 0.0248964027538615, ""50057"": 0.0248964027538615, ""50059"": 0.0248964027538615, ""50061"": 0.024306881298576298, ""50063"": 0.0248964027538615, ""50065"": 0.02436071903720136, ""50067"": 0.0248964027538615, ""50069"": 0.0248964027538615}"
3,2,1,853,1.881040,10,"{""50051"": 1.1916864943810268, ""50053"": 1.2026068097547764, ""50055"": 1.0641974104609326, ""50057"": 1.1534640227184811, ""50059"": 1.350274731637612, ""50061"": 1.479126999516254, ""50063"": 1.2761398990452668, ""50065"": 1.4456115160130207, ""50067"": 1.4340418799416605, ""50069"": 1.334817820322079}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1817, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.025051529346672916, ""50053"": 0.025051529346672916, ""50055"": 0.025051529346672916, ""50057"": 0.025051529346672916, ""50059"": 0.025051529346672916, ""50061"": 0.023999292019247255, ""50063"": 0.025051529346672916, ""50065"": 0.025051529346672916, ""50067"": 0.025051529346672916, ""50069"": 0.025051529346672916}"
4,3,1,478,1.067851,10,"{""50051"": 1.4506539210928349, ""50053"": 1.4761037364665845, ""50055"": 1.2634048371727409, ""50057"": 1.31185360566995, ""50059"": 1.5520952003135444, ""50061"": 1.7797174132835907, ""50063"": 1.5375772800105556, ""50065"": 1.7072531354255394, ""50067"": 1.7171089628931295, ""50069"": 1.6730870085807215}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1714, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.025182002038097687, ""50053"": 0.025182002038097687, ""50055"": 0.025182002038097687, ""50057"": 0.025182002038097687, ""50059"": 0.025182002038097687, ""50061"": 0.024189416314592118, ""50063"": 0.025182002038097687, ""50065"": 0.025182002038097687, ""50067"": 0.025182002038097687, ""50069"": 0.025182002038097687}"
5,4,1,324,0.761111,10,"{""50051"": 1.5025388001279127, ""50053"": 1.5279886155016622, ""50055"": 1.3395605382112907, ""50057"": 1.3637384847050278, ""50059"": 1.6282509013520943, ""50061"": 1.8514980463429733, ""50063"": 1.6022036590456334, ""50065"": 1.7591380144606172, ""50067"": 1.9609898419282072, ""50069"": 1.749242709619271}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1662, ""50069"": 0}","{""50051"": 0.02524724729745506, ""50053"": 0.02524724729745506, ""50055"": 0.02524724729745506, ""50057"": 0.02524724729745506, ""50059"": 0.02524724729745506, ""50061"": 0.02524724729745506, ""50063"": 0.02524724729745506, ""50065"": 0.02524724729745506, ""50067"": 0.024284777845961857, ""50069"": 0.02524724729745506}"
6,5,1,344,0.772399,10,"{""50051"": 1.6084101789213416, ""50053"": 1.5279886155016622, ""50055"": 1.4028078699517568, ""50057"": 1.3637384847050278, ""50059"": 1.699515181014196, ""50061"": 1.989301100501852, ""50063"": 1.7320038105236921, ""50065"": 1.8223853462010833, ""50067"": 2.0936953143469923, ""50069"": 1.8124900413597371}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1628, ""50069"": 0}","{""50051"": 0.025290312066910167, ""50053"": 0.025290312066910167, ""50055"": 0.025290312066910167, ""50057"": 0.025290312066910167, ""50059"": 0.025290312066910167, ""50061"": 0.025290312066910167, ""50063"": 0.025290312066910167, ""50065"": 0.025290312066910167, ""50067"": 0.024347532800294936, ""50069"": 0.025290312066910167}"
7,6,1,192,0.426881,10,"{""50051"": 1.6084101789213416, ""50053"": 1.5279886155016622, ""50055"": 1.4028078699517568, ""50057"": 1.3637384847050278, ""50059"": 1.699515181014196, ""50061"": 1.989301100501852, ""50063"": 1.7320038105236921, ""50065"": 1.8223853462010833, ""50067"": 2.2474011610424705, ""50069"": 1.8342302939543829}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1592, ""50069"": 0}","{""50051"": 0.02533591750431921, ""50053"": 0.02533591750431921, ""50055"": 0.02533591750431921, ""50057"": 0.02533591750431921, ""50059"": 0.02533591750431921, ""50061"": 0.02533591750431921, ""50063"": 0.02533591750431921, ""50065"": 0.02533591750431921, ""50067"": 0.02441398641131703, ""50069"": 0.02533591750431921}"
8,7,1,195,0.422088,10,"{""50051"": 1.6501944292505062, ""50053"": 1.5279886155016622, ""50055"": 1.4028078699517568, ""50057"": 1.3637384847050278, ""50059"": 1.699515181014196, ""50061"": 1.9978768420931887, ""50063"": 1.7320038105236921, ""50065"": 1.86178428986258, ""50067"": 2.2474011610424705, ""50069"": 1.8342302939543829}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1592, ""50069"": 0}","{""50051"": 0.02533591750431921, ""50053"": 0.02533591750431921, ""50055"": 0.02533591750431921, ""50057"": 0.02533591750431921, ""50059"": 0.02533591750431921, ""50061"": 0.02533591750431921, ""50063"": 0.02533591750431921, ""50065"": 0.02533591750431921, ""50067"": 0.02441398641131703, ""50069"": 0.02533591750431921}"
9,8,1,255,0.574313,10,"{""50051"": 1.7477546410204488, ""50053"": 1.5279886155016622, ""50055"": 1.4028078699517568, ""50057"": 1.3637384847050278, ""50059"": 1.699515181014196, ""50061"": 2.104866146518145, ""50063"": 1.7320038105236921, ""50065"": 1.8886515780548303, ""50067"": 2.2808564415221584, ""50069"": 1.8342302939543829}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1585, ""50069"": 0}","{""50051"": 0.025345540612507392, ""50053"": 0.025345540612507392, ""50055"": 0.025345540612507392, ""50057"": 0.025345540612507392, ""50059"": 0.025345540612507392, ""50061"": 0.025345540612507392, ""50063"": 0.025345540612507392, ""50065"": 0.025345540612507392, ""50067"": 0.024427661334728352, ""50069"": 0.025345540612507392}"
10,9,1,337,0.746597,10,"{""50051"": 1.9575240259081355, ""50053"": 1.5279886155016622, ""50055"": 1.4028078699517568, ""50057"": 1.3637384847050278, ""50059"": 1.7672495591465118, ""50061"": 2.255706795140945, ""50063"": 1.8114450088021459, ""50065"": 2.0338302108701978, ""50067"": 2.374797824337526, ""50069"": 1.9768848500710345}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1565, ""50069"": 0}","{""50051"": 0.025370987769767275, ""50053"": 0.025370987769767275, ""50055"": 0.025370987769767275, ""50057"": 0.025370987769767275, ""50059"": 0.025370987769767275, ""50061"": 0.025370987769767275, ""50063"": 0.025370987769767275, ""50065"": 0.025370987769767275, ""50067"": 0.024464690349729142, ""50069"": 0.025370987769767275}"
