game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,0,1,1625,4.236285,10,"{""50051"": 1.0373056650520343, ""50053"": 1.0635440493817272, ""50055"": 1.0, ""50057"": 1.0, ""50059"": 1.0635440493817272, ""50061"": 1.2, ""50063"": 1.0640956655809906, ""50065"": 1.0918573243927197, ""50067"": 1.0635440493817272, ""50069"": 1.0515496906463464}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1947, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.024897687159174814, ""50053"": 0.024897687159174814, ""50055"": 0.024897687159174814, ""50057"": 0.024897687159174814, ""50059"": 0.024897687159174814, ""50061"": 0.023770725538288778, ""50063"": 0.024897687159174814, ""50065"": 0.024897687159174814, ""50067"": 0.024897687159174814, ""50069"": 0.024897687159174814}"
2,1,0,100000,195.329434,10,"{""50051"": 1.1042284320470852, ""50053"": 1.0635440493817272, ""50055"": 1.0, ""50057"": 1.0, ""50059"": 1.1363638475475066, ""50061"": 1.2728197981657794, ""50063"": 1.13691546374677, ""50065"": 1.2918573243927196, ""50067"": 1.1817622926409705, ""50069"": 1.1761472675525086}","{""50051"": 250, ""50053"": 207, ""50055"": 131, ""50057"": 131, ""50059"": 281, ""50061"": 492, ""50063"": 282, ""50065"": 543, ""50067"": 322, ""50069"": 317}","{""50051"": 0.02457249280704507, ""50053"": 0.024581289809896763, ""50055"": 0.024599836972486525, ""50057"": 0.024599836972486525, ""50059"": 0.024567293511912013, ""50061"": 0.02449686529454482, ""50063"": 0.024566816908067862, ""50065"": 0.024474311007579172, ""50067"": 0.02456093119064629, ""50069"": 0.024561565393794907}"
1,0,0,100000,198.063355,10,"{""50051"": 1.0373056650520343, ""50053"": 1.0635440493817272, ""50055"": 1.0, ""50057"": 1.0, ""50059"": 1.0635440493817272, ""50061"": 1.2, ""50063"": 1.0640956655809906, ""50065"": 1.0918573243927197, ""50067"": 1.0635440493817272, ""50069"": 1.0515496906463464}","{""50051"": 667, ""50053"": 676, ""50055"": 654, ""50057"": 654, ""50059"": 676, ""50061"": 710, ""50063"": 676, ""50065"": 683, ""50067"": 676, ""50069"": 672}","{""50051"": 0.02418010826527449, ""50053"": 0.024192574103132018, ""50055"": 0.02416160193956151, ""50057"": 0.02416160193956151, ""50059"": 0.024192574103132018, ""50061"": 0.024257664128332444, ""50063"": 0.024192858594294438, ""50065"": 0.0242064993172036, ""50067"": 0.024192574103132018, ""50069"": 0.02418694690169631}"
1,0,1,78,0.269796,10,"{""50051"": 1.0373056650520343, ""50053"": 1.0635440493817272, ""50055"": 1.0, ""50057"": 1.0, ""50059"": 1.0635440493817272, ""50061"": 1.2, ""50063"": 1.0640956655809906, ""50065"": 1.0918573243927197, ""50067"": 1.0635440493817272, ""50069"": 1.0515496906463464}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1945, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.024896525190811786, ""50053"": 0.024896525190811786, ""50055"": 0.024896525190811786, ""50057"": 0.024896525190811786, ""50059"": 0.024896525190811786, ""50061"": 0.023770725538288778, ""50063"": 0.024896525190811786, ""50065"": 0.024896525190811786, ""50067"": 0.024896525190811786, ""50069"": 0.024896525190811786}"
2,1,1,331,1.141423,10,"{""50051"": 1.1042284320470852, ""50053"": 1.0635440493817272, ""50055"": 1.0, ""50057"": 1.0, ""50059"": 1.1363638475475066, ""50061"": 1.2728197981657794, ""50063"": 1.13691546374677, ""50065"": 1.2918573243927196, ""50067"": 1.1817622926409705, ""50069"": 1.1761472675525086}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 1901, ""50067"": 0, ""50069"": 0}","{""50051"": 0.024953362995294784, ""50053"": 0.024953362995294784, ""50055"": 0.024953362995294784, ""50057"": 0.024953362995294784, ""50059"": 0.024953362995294784, ""50061"": 0.024953362995294784, ""50063"": 0.024953362995294784, ""50065"": 0.023853044255323332, ""50067"": 0.024953362995294784, ""50069"": 0.024953362995294784}"
3,2,1,191,0.661889,10,"{""50051"": 1.2046477785601255, ""50053"": 1.2010318657251249, ""50055"": 1.0, ""50057"": 1.1374878163433977, ""50059"": 1.2756474282355723, ""50061"": 1.4695214520737616, ""50063"": 1.2951646514457789, ""50065"": 1.4293451407361173, ""50067"": 1.3817622926409705, ""50069"": 1.3439082131481952}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 1825, ""50063"": 0, ""50065"": 0, ""50067"": 0, ""50069"": 0}","{""50051"": 0.02504869680297986, ""50053"": 0.02504869680297986, ""50055"": 0.02504869680297986, ""50057"": 0.02504869680297986, ""50059"": 0.02504869680297986, ""50061"": 0.023992393869732096, ""50063"": 0.02504869680297986, ""50065"": 0.02504869680297986, ""50067"": 0.02504869680297986, ""50069"": 0.02504869680297986}"
4,3,1,165,0.566068,10,"{""50051"": 1.3414645702405776, ""50053"": 1.337848657405577, ""50055"": 1.1368167916804521, ""50057"": 1.1374878163433977, ""50059"": 1.4159482758681903, ""50061"": 1.608510559828252, ""50063"": 1.413245715464205, ""50065"": 1.6041281893508503, ""50067"": 1.5817622926409705, ""50069"": 1.529471686891093}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 978, ""50063"": 0, ""50065"": 797, ""50067"": 0, ""50069"": 0}","{""50051"": 0.025113493257199387, ""50053"": 0.025113493257199387, ""50055"": 0.025113493257199387, ""50057"": 0.025113493257199387, ""50059"": 0.025113493257199387, ""50061"": 0.0245477043003152, ""50063"": 0.025113493257199387, ""50065"": 0.02465193821598104, ""50067"": 0.02511292057473989, ""50069"": 0.025113493257199387}"
5,4,1,72,0.248378,10,"{""50051"": 1.3414645702405776, ""50053"": 1.337848657405577, ""50055"": 1.1691778876850816, ""50057"": 1.1374878163433977, ""50059"": 1.4483093718728197, ""50061"": 1.6350382318606584, ""50063"": 1.413245715464205, ""50065"": 1.6041281893508503, ""50067"": 1.7817622926409704, ""50069"": 1.5618327828957224}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1718, ""50069"": 0}","{""50051"": 0.02518489943996062, ""50053"": 0.02518489943996062, ""50055"": 0.02518489943996062, ""50057"": 0.02518489943996062, ""50059"": 0.02518489943996062, ""50061"": 0.02518489943996062, ""50063"": 0.02518489943996062, ""50065"": 0.02518489943996062, ""50067"": 0.02419056248161362, ""50069"": 0.02518489943996062}"
6,5,1,94,0.323938,10,"{""50051"": 1.4477793364199782, ""50053"": 1.3390632484905698, ""50055"": 1.2697702577938648, ""50057"": 1.1389257283974066, ""50059"": 1.5504073392104505, ""50061"": 1.8350382318606584, ""50063"": 1.5375715118897788, ""50065"": 1.7047205594596335, ""50067"": 1.950517850320846, ""50069"": 1.6624251530045056}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1670, ""50069"": 0}","{""50051"": 0.02524612897091777, ""50053"": 0.02524612897091777, ""50055"": 0.02524612897091777, ""50057"": 0.02524612897091777, ""50059"": 0.02524612897091777, ""50061"": 0.02524612897091777, ""50063"": 0.02524612897091777, ""50065"": 0.02524612897091777, ""50067"": 0.024279589023482137, ""50069"": 0.02524612897091777}"
7,6,1,49,0.168624,10,"{""50051"": 1.4970404971994338, ""50053"": 1.3390632484905698, ""50055"": 1.2697702577938648, ""50057"": 1.1749792695962968, ""50059"": 1.5504073392104505, ""50061"": 1.838151859473434, ""50063"": 1.5375715118897788, ""50065"": 1.7407741006585238, ""50067"": 2.150517850320846, ""50069"": 1.6984786942033958}","{""50051"": 0, ""50053"": 0, ""50055"": 0, ""50057"": 0, ""50059"": 0, ""50061"": 0, ""50063"": 0, ""50065"": 0, ""50067"": 1620, ""50069"": 0}","{""50051"": 0.025310411477067737, ""50053"": 0.025310411477067737, ""50055"": 0.025310411477067737, ""50057"": 0.025310411477067737, ""50059"": 0.025310411477067737, ""50061"": 0.025310411477067737, ""50063"": 0.025310411477067737, ""50065"": 0.025310411477067737, ""50067"": 0.0243728260227415, ""50069"": 0.025310411477067737}"
