Round: 0, Value: 1.000000
Round: 2, Value: 0.705533
Round: 4, Value: 0.671901
Round: 6, Value: 0.597404
Round: 8, Value: 0.504006
Round: 10, Value: 0.267179
Round: 12, Value: 0.277347
Round: 14, Value: 0.310704
Round: 16, Value: 0.353141
Round: 18, Value: 0.191912
Round: 20, Value: 0.209973
Round: 22, Value: 0.109816
Round: 24, Value: 0.095032
Round: 26, Value: 0.291752
Round: 28, Value: 0.343147
Round: 30, Value: 0.198189
Round: 32, Value: 0.304216
Round: 34, Value: 0.238931
Round: 36, Value: 0.137471
Round: 38, Value: 0.237560
Round: 40, Value: 0.354822
Round: 42, Value: 0.197147
Round: 44, Value: 0.356987
Round: 46, Value: 0.010000
Round: 48, Value: 0.282459
Round: 50, Value: 0.208897
Round: 52, Value: 0.170237
Round: 54, Value: 0.209275
Round: 56, Value: 0.010000
Round: 58, Value: 0.178083
Round: 60, Value: 0.235748
Round: 62, Value: 0.347815
Round: 64, Value: 0.148192
Round: 66, Value: 0.119164
Round: 68, Value: 0.149834
Round: 70, Value: 0.291547
Round: 72, Value: 0.232880
Round: 74, Value: 0.147028
Round: 76, Value: 0.251329
Round: 78, Value: 0.209710
Round: 80, Value: 0.296866
Round: 82, Value: 0.129796
Round: 84, Value: 0.167234
Round: 86, Value: 0.160790
Round: 88, Value: 0.053649
Round: 90, Value: 0.229612
Round: 92, Value: 0.226106
Round: 94, Value: 0.200511
Round: 96, Value: 0.176541
Round: 98, Value: 0.058463
Round: 100, Value: 0.157936
