Round: 0, Value: 1.000000
Round: 2, Value: 1.000000
Round: 4, Value: 1.000000
Round: 6, Value: 1.000000
Round: 8, Value: 1.000000
Round: 10, Value: 1.000000
Round: 12, Value: 1.000000
Round: 14, Value: 1.000000
Round: 16, Value: 1.000000
Round: 18, Value: 1.000000
Round: 20, Value: 1.000000
Round: 22, Value: 1.000000
Round: 24, Value: 1.000000
Round: 26, Value: 1.000000
Round: 28, Value: 1.000000
Round: 30, Value: 1.000000
Round: 32, Value: 1.000000
Round: 34, Value: 1.000000
Round: 36, Value: 1.000000
Round: 38, Value: 1.000000
Round: 40, Value: 1.000000
Round: 42, Value: 1.000000
Round: 44, Value: 1.000000
Round: 46, Value: 1.000000
Round: 48, Value: 1.000000
Round: 50, Value: 1.000000
Round: 52, Value: 1.000000
Round: 54, Value: 1.000000
Round: 56, Value: 1.000000
Round: 58, Value: 1.000000
Round: 60, Value: 1.000000
Round: 62, Value: 1.000000
Round: 64, Value: 1.000000
Round: 66, Value: 1.000000
Round: 68, Value: 1.000000
Round: 70, Value: 1.000000
Round: 72, Value: 1.000000
Round: 74, Value: 1.000000
Round: 76, Value: 1.000000
Round: 78, Value: 1.000000
Round: 80, Value: 1.000000
Round: 82, Value: 1.000000
Round: 84, Value: 1.000000
Round: 86, Value: 1.000000
Round: 88, Value: 1.000000
Round: 90, Value: 1.000000
Round: 92, Value: 1.000000
Round: 94, Value: 1.000000
Round: 96, Value: 1.000000
Round: 98, Value: 1.000000
Round: 100, Value: 1.000000
