Round: 0, Value: 1.000000
Round: 2, Value: 0.878406
Round: 4, Value: 0.847718
Round: 6, Value: 0.838544
Round: 8, Value: 0.630928
Round: 10, Value: 0.574180
Round: 12, Value: 0.671210
Round: 14, Value: 0.565605
Round: 16, Value: 0.432232
Round: 18, Value: 0.484059
Round: 20, Value: 0.378917
Round: 22, Value: 0.357855
Round: 24, Value: 0.396798
Round: 26, Value: 0.209420
Round: 28, Value: 0.211826
Round: 30, Value: 0.294118
Round: 32, Value: 0.249002
Round: 34, Value: 0.347488
Round: 36, Value: 0.243205
Round: 38, Value: 0.197359
Round: 40, Value: 0.422937
Round: 42, Value: 0.283680
Round: 44, Value: 0.303807
Round: 46, Value: 0.181599
Round: 48, Value: 0.249637
Round: 50, Value: 0.300037
Round: 52, Value: 0.197370
Round: 54, Value: 0.318054
Round: 56, Value: 0.238719
Round: 58, Value: 0.262396
Round: 60, Value: 0.236715
Round: 62, Value: 0.432289
Round: 64, Value: 0.282396
Round: 66, Value: 0.198326
Round: 68, Value: 0.348294
Round: 70, Value: 0.184441
Round: 72, Value: 0.298494
Round: 74, Value: 0.124737
Round: 76, Value: 0.175024
Round: 78, Value: 0.296831
Round: 80, Value: 0.339994
Round: 82, Value: 0.294485
Round: 84, Value: 0.271405
Round: 86, Value: 0.256467
Round: 88, Value: 0.162189
Round: 90, Value: 0.222811
Round: 92, Value: 0.243486
Round: 94, Value: 0.364855
Round: 96, Value: 0.307731
Round: 98, Value: 0.139161
Round: 100, Value: 0.306100
